@relation movie-reviews

@attribute positive numeric
@attribute negative numeric
@attribute pleasur numeric
@attribute arousal numeric
@attribute pain numeric
@attribute virtue numeric
@attribute hostile numeric
@attribute class {POSITIVE,NEGATIVE}

@data
54,15,2,0,3,10,6,POSITIVE
144,51,7,0,2,14,2,POSITIVE
42,20,0,0,1,5,4,POSITIVE
60,95,1,12,7,4,24,POSITIVE
78,49,1,2,3,12,5,POSITIVE
106,40,1,0,0,17,3,POSITIVE
51,30,1,0,0,6,7,POSITIVE
91,32,3,2,2,18,5,POSITIVE
46,35,1,2,2,3,6,POSITIVE
55,28,0,2,0,7,1,POSITIVE
20,19,0,0,1,2,4,POSITIVE
26,18,1,0,0,3,1,POSITIVE
155,38,5,5,2,26,5,POSITIVE
76,20,0,3,2,8,3,POSITIVE
149,64,4,0,1,25,9,POSITIVE
84,50,1,6,2,9,7,POSITIVE
78,3,0,1,0,18,1,POSITIVE
128,96,3,1,5,16,15,POSITIVE
31,22,6,2,0,5,1,POSITIVE
98,45,4,1,0,13,2,POSITIVE
60,60,0,3,3,18,10,POSITIVE
118,82,0,7,0,17,8,POSITIVE
106,128,2,0,7,15,16,POSITIVE
28,52,1,0,2,3,11,POSITIVE
112,32,6,3,1,20,4,POSITIVE
57,29,1,1,2,11,1,POSITIVE
101,24,3,6,1,7,3,POSITIVE
111,42,0,2,2,21,3,POSITIVE
103,57,4,2,0,18,6,POSITIVE
127,111,2,7,8,19,9,POSITIVE
54,31,0,2,2,12,0,POSITIVE
94,121,2,4,4,8,10,POSITIVE
125,40,0,4,4,29,2,POSITIVE
144,128,3,3,9,20,18,POSITIVE
95,20,0,1,0,11,2,POSITIVE
90,47,2,1,5,14,9,POSITIVE
33,38,1,2,0,5,2,POSITIVE
259,109,13,5,3,38,12,POSITIVE
48,34,3,0,2,6,3,POSITIVE
115,64,2,4,3,18,9,POSITIVE
58,38,1,1,2,12,4,POSITIVE
43,33,0,1,0,7,4,POSITIVE
131,68,1,2,5,24,3,POSITIVE
119,98,0,2,4,19,12,POSITIVE
82,32,4,3,0,6,6,POSITIVE
62,30,2,0,3,8,2,POSITIVE
102,28,0,4,3,19,6,POSITIVE
69,56,0,4,0,11,8,POSITIVE
135,121,0,3,3,33,14,POSITIVE
79,25,5,2,2,9,3,POSITIVE
211,146,1,8,5,31,18,POSITIVE
12,23,1,0,0,4,2,POSITIVE
132,49,1,2,2,22,8,POSITIVE
56,33,1,0,0,12,1,POSITIVE
73,15,3,2,0,10,6,POSITIVE
194,80,11,7,1,24,11,POSITIVE
124,42,2,1,1,19,10,POSITIVE
114,34,6,4,1,16,4,POSITIVE
27,31,0,1,0,2,3,POSITIVE
156,134,2,6,5,21,14,POSITIVE
57,27,1,0,0,14,4,POSITIVE
8,4,0,0,0,1,1,POSITIVE
139,50,2,3,0,25,12,POSITIVE
104,48,1,4,0,15,7,POSITIVE
59,38,2,0,2,10,2,POSITIVE
133,42,7,0,1,13,2,POSITIVE
82,30,3,0,0,15,5,POSITIVE
124,67,1,6,1,23,1,POSITIVE
63,27,3,1,1,12,4,POSITIVE
87,37,2,1,1,18,2,POSITIVE
88,26,2,2,1,10,4,POSITIVE
136,34,1,3,0,19,7,POSITIVE
103,64,5,1,0,10,9,POSITIVE
43,15,4,0,0,7,2,POSITIVE
45,5,0,1,1,5,0,POSITIVE
80,45,3,3,2,8,7,POSITIVE
82,27,1,1,0,12,6,POSITIVE
37,32,0,1,0,7,0,POSITIVE
81,106,4,5,2,14,6,POSITIVE
123,38,5,5,1,22,6,POSITIVE
63,39,0,5,0,11,2,POSITIVE
157,108,2,5,6,25,6,POSITIVE
42,46,2,6,3,10,4,POSITIVE
59,115,1,5,2,16,22,POSITIVE
124,47,2,2,4,23,8,POSITIVE
123,54,6,0,0,19,7,POSITIVE
91,25,5,3,0,18,1,POSITIVE
120,51,1,3,2,23,5,POSITIVE
98,40,0,0,0,16,4,POSITIVE
45,44,3,2,1,12,6,POSITIVE
303,121,8,3,1,42,8,POSITIVE
113,60,3,2,0,15,6,POSITIVE
127,74,1,4,1,17,9,POSITIVE
79,13,8,0,0,8,1,POSITIVE
148,40,3,4,1,27,7,POSITIVE
29,25,0,1,3,7,5,POSITIVE
172,96,2,4,4,22,13,POSITIVE
64,27,1,1,0,10,3,POSITIVE
203,106,8,2,3,34,14,POSITIVE
98,120,2,2,14,19,22,POSITIVE
49,10,2,0,0,5,0,POSITIVE
201,73,1,4,2,38,8,POSITIVE
84,34,1,3,4,12,2,POSITIVE
36,39,0,1,2,2,2,POSITIVE
47,48,0,0,2,5,6,POSITIVE
94,40,3,2,1,11,2,POSITIVE
80,43,1,2,1,11,2,POSITIVE
20,33,0,0,0,4,6,POSITIVE
240,90,13,4,1,39,9,POSITIVE
183,108,4,4,2,37,15,POSITIVE
32,24,0,0,0,6,5,POSITIVE
55,32,0,1,1,12,5,POSITIVE
115,37,1,5,1,16,6,POSITIVE
149,38,5,6,3,20,2,POSITIVE
152,99,2,3,3,22,12,POSITIVE
96,64,0,0,1,20,4,POSITIVE
112,57,1,7,4,10,7,POSITIVE
88,92,2,2,6,19,14,POSITIVE
109,66,5,1,4,13,8,POSITIVE
29,42,1,0,0,2,7,POSITIVE
34,55,2,1,1,8,3,POSITIVE
59,41,5,1,2,6,3,POSITIVE
145,58,3,3,2,14,7,POSITIVE
56,47,1,2,6,6,5,POSITIVE
38,47,1,4,2,7,11,POSITIVE
71,44,7,2,1,10,2,POSITIVE
195,202,3,12,2,24,16,POSITIVE
41,39,1,0,2,6,2,POSITIVE
107,49,3,1,0,17,10,POSITIVE
32,38,1,1,1,4,3,POSITIVE
14,7,0,0,0,3,0,POSITIVE
102,27,0,11,1,19,6,POSITIVE
77,30,0,3,0,8,5,POSITIVE
65,18,0,0,0,11,2,POSITIVE
43,19,1,1,1,4,2,POSITIVE
76,86,2,4,15,14,22,POSITIVE
106,14,3,1,0,13,1,POSITIVE
135,110,3,2,2,7,23,POSITIVE
119,54,5,3,2,20,7,POSITIVE
129,66,1,5,1,15,4,POSITIVE
57,34,1,0,1,3,1,POSITIVE
88,72,1,2,4,11,10,POSITIVE
49,6,2,1,1,5,0,POSITIVE
110,45,3,2,0,14,8,POSITIVE
64,31,1,1,0,8,4,POSITIVE
65,39,0,0,0,13,3,POSITIVE
112,90,10,4,2,17,4,POSITIVE
49,24,1,6,2,16,2,POSITIVE
49,45,2,2,2,8,2,POSITIVE
112,62,2,4,1,19,6,POSITIVE
101,41,2,2,3,18,3,POSITIVE
80,45,4,6,0,11,6,POSITIVE
110,53,3,4,1,14,8,POSITIVE
28,8,2,0,0,4,1,POSITIVE
92,37,4,3,0,17,9,POSITIVE
91,15,3,0,0,18,3,POSITIVE
75,22,1,3,0,11,1,POSITIVE
74,48,1,2,1,9,6,POSITIVE
42,66,0,1,1,9,10,POSITIVE
69,27,0,2,0,13,2,POSITIVE
119,57,7,2,2,19,9,POSITIVE
59,28,2,3,0,10,3,POSITIVE
104,53,4,0,0,13,10,POSITIVE
80,75,1,2,1,16,10,POSITIVE
154,71,5,7,8,18,8,POSITIVE
56,34,5,2,0,7,2,POSITIVE
46,60,0,0,0,9,14,POSITIVE
125,44,2,1,2,18,4,POSITIVE
42,6,0,1,0,7,0,POSITIVE
84,43,2,1,3,12,6,POSITIVE
63,78,2,5,4,11,6,POSITIVE
36,13,3,0,0,5,5,POSITIVE
99,87,2,1,2,10,6,POSITIVE
31,37,0,0,0,4,6,POSITIVE
95,53,2,6,3,16,8,POSITIVE
31,10,2,0,0,3,1,POSITIVE
71,63,5,2,2,10,4,POSITIVE
56,69,1,1,1,16,7,POSITIVE
119,48,6,0,3,16,5,POSITIVE
152,68,3,6,1,24,7,POSITIVE
90,80,2,6,1,8,11,POSITIVE
33,15,5,1,0,3,1,POSITIVE
137,61,9,3,3,21,7,POSITIVE
97,39,3,0,1,14,7,POSITIVE
12,8,1,0,0,4,0,POSITIVE
54,35,3,1,0,13,3,POSITIVE
78,35,3,1,0,11,4,POSITIVE
65,33,0,0,4,12,4,POSITIVE
87,71,0,6,2,12,3,POSITIVE
56,45,0,0,0,7,2,POSITIVE
147,66,5,5,8,16,6,POSITIVE
84,35,3,4,1,13,2,POSITIVE
231,106,5,10,1,31,8,POSITIVE
88,35,3,0,1,13,5,POSITIVE
92,50,1,1,5,13,9,POSITIVE
100,52,3,4,2,16,11,POSITIVE
105,26,3,3,1,14,1,POSITIVE
47,20,1,0,1,7,1,POSITIVE
87,36,6,1,1,6,3,POSITIVE
39,15,0,2,0,9,3,POSITIVE
56,29,1,3,1,9,2,POSITIVE
58,75,4,1,1,6,9,POSITIVE
180,166,8,8,6,28,20,POSITIVE
139,38,5,0,3,16,2,POSITIVE
67,48,1,3,0,16,7,POSITIVE
30,51,1,1,1,2,8,POSITIVE
24,15,1,0,0,2,1,POSITIVE
90,36,5,2,0,12,1,POSITIVE
81,82,0,2,3,18,9,POSITIVE
47,20,1,5,1,5,2,POSITIVE
43,23,2,1,0,7,3,POSITIVE
49,41,3,0,1,7,6,POSITIVE
52,30,0,0,6,8,6,POSITIVE
130,91,11,2,0,17,12,POSITIVE
144,89,3,2,2,28,14,POSITIVE
105,65,1,3,4,13,13,POSITIVE
161,96,2,5,6,27,10,POSITIVE
194,53,0,1,1,30,5,POSITIVE
130,63,2,1,1,20,5,POSITIVE
105,80,3,6,4,16,13,POSITIVE
212,118,8,2,1,39,3,POSITIVE
98,60,0,4,0,16,7,POSITIVE
96,80,0,3,1,22,14,POSITIVE
143,171,4,11,3,25,19,POSITIVE
63,44,2,3,3,12,3,POSITIVE
39,36,4,0,0,4,2,POSITIVE
154,104,3,0,7,24,15,POSITIVE
58,54,1,1,3,9,7,POSITIVE
78,40,2,1,7,11,9,POSITIVE
89,28,1,4,2,12,3,POSITIVE
61,35,1,0,2,11,1,POSITIVE
46,53,0,0,0,7,7,POSITIVE
83,29,5,1,0,14,2,POSITIVE
58,42,1,0,1,8,11,POSITIVE
123,53,2,4,2,19,8,POSITIVE
108,68,1,2,5,11,11,POSITIVE
92,62,6,1,5,9,5,POSITIVE
104,44,6,1,0,14,8,POSITIVE
77,82,3,5,1,12,4,POSITIVE
116,68,1,6,2,10,5,POSITIVE
14,32,0,1,7,1,6,POSITIVE
98,47,3,3,0,16,5,POSITIVE
109,129,4,4,6,13,18,POSITIVE
111,62,0,3,0,10,10,POSITIVE
135,44,4,0,0,18,11,POSITIVE
76,47,2,1,2,9,8,POSITIVE
55,49,2,2,0,5,7,POSITIVE
93,46,1,3,3,17,3,POSITIVE
81,67,1,1,2,16,11,POSITIVE
95,33,0,1,0,17,3,POSITIVE
122,126,2,5,6,29,18,POSITIVE
106,107,5,2,3,8,10,POSITIVE
43,16,1,1,2,6,2,POSITIVE
57,43,4,2,0,7,2,POSITIVE
31,15,1,1,1,6,2,POSITIVE
93,45,1,2,2,14,7,POSITIVE
168,50,3,2,0,23,10,POSITIVE
109,60,1,2,0,13,7,POSITIVE
131,27,4,6,0,15,4,POSITIVE
84,50,1,1,2,12,9,POSITIVE
55,76,0,1,0,11,7,POSITIVE
49,29,1,1,0,8,6,POSITIVE
56,72,2,2,0,4,11,POSITIVE
86,64,1,5,3,9,5,POSITIVE
95,30,4,5,1,8,3,POSITIVE
34,46,1,2,2,6,6,POSITIVE
75,21,2,2,0,11,5,POSITIVE
91,77,0,0,2,14,7,POSITIVE
95,57,2,2,2,23,10,POSITIVE
106,56,1,5,3,17,8,POSITIVE
70,53,2,2,1,13,9,POSITIVE
131,73,2,1,6,26,4,POSITIVE
63,10,2,0,1,8,1,POSITIVE
120,63,2,2,0,27,7,POSITIVE
23,26,1,1,1,4,1,POSITIVE
88,58,0,3,0,18,9,POSITIVE
63,64,0,1,2,5,11,POSITIVE
90,78,1,1,3,13,9,POSITIVE
114,38,3,1,1,17,3,POSITIVE
39,47,0,3,0,5,6,POSITIVE
71,36,1,4,2,9,3,POSITIVE
78,66,2,7,1,18,5,POSITIVE
215,102,10,5,5,33,12,POSITIVE
66,66,0,4,1,9,5,POSITIVE
183,48,2,0,5,18,4,POSITIVE
52,70,2,2,2,14,5,POSITIVE
160,153,0,6,6,23,19,POSITIVE
184,130,5,12,4,37,12,POSITIVE
82,71,1,2,2,17,10,POSITIVE
189,80,2,6,5,27,5,POSITIVE
257,45,11,5,1,32,6,POSITIVE
69,41,4,2,4,7,4,POSITIVE
93,142,5,3,6,13,10,POSITIVE
140,156,0,2,7,27,15,POSITIVE
41,24,0,0,1,6,3,POSITIVE
67,39,6,0,2,8,6,POSITIVE
32,15,0,1,0,3,2,POSITIVE
96,49,5,1,2,12,8,POSITIVE
54,31,6,0,0,7,3,POSITIVE
99,94,1,3,3,18,10,POSITIVE
162,86,3,2,3,24,5,POSITIVE
113,86,4,2,1,15,11,POSITIVE
207,31,9,4,1,32,3,POSITIVE
86,25,2,3,1,15,3,POSITIVE
91,28,2,2,4,10,2,POSITIVE
102,73,1,2,7,9,11,POSITIVE
95,72,3,7,7,10,9,POSITIVE
77,39,5,2,2,10,1,POSITIVE
59,45,4,2,5,6,1,POSITIVE
154,24,5,2,1,14,1,POSITIVE
94,63,0,2,4,12,13,POSITIVE
57,41,1,0,0,7,13,POSITIVE
169,85,3,3,2,29,9,POSITIVE
134,110,4,2,1,23,10,POSITIVE
49,30,3,0,0,13,2,POSITIVE
32,33,1,0,1,12,4,POSITIVE
34,7,1,2,0,10,1,POSITIVE
85,23,6,3,0,11,2,POSITIVE
77,62,1,4,0,13,5,POSITIVE
121,153,0,4,1,18,27,POSITIVE
58,19,0,1,0,9,3,POSITIVE
79,66,1,1,0,11,11,POSITIVE
107,74,0,4,1,18,5,POSITIVE
31,18,0,1,0,2,2,POSITIVE
180,35,2,3,4,21,1,POSITIVE
50,46,0,2,1,8,10,POSITIVE
200,112,5,3,2,42,6,POSITIVE
89,69,3,3,0,18,5,POSITIVE
77,18,1,0,0,13,4,POSITIVE
99,93,3,2,5,18,13,POSITIVE
110,57,2,1,0,24,7,POSITIVE
89,75,4,2,0,14,5,POSITIVE
142,56,9,0,2,21,7,POSITIVE
330,162,8,8,5,44,15,POSITIVE
124,83,5,8,2,20,9,POSITIVE
98,90,2,2,3,20,13,POSITIVE
92,22,1,0,2,12,2,POSITIVE
231,72,1,7,3,29,10,POSITIVE
102,84,6,3,0,17,10,POSITIVE
161,52,0,1,0,15,5,POSITIVE
122,39,0,0,0,23,5,POSITIVE
200,120,1,6,1,35,12,POSITIVE
86,80,0,3,1,16,8,POSITIVE
114,61,4,2,0,14,5,POSITIVE
185,83,8,2,2,21,6,POSITIVE
73,35,1,3,1,10,6,POSITIVE
47,18,0,1,1,9,4,POSITIVE
111,83,3,6,5,14,13,POSITIVE
126,31,5,3,3,16,6,POSITIVE
26,6,0,0,0,7,0,POSITIVE
188,38,5,6,1,24,5,POSITIVE
69,73,3,5,5,8,10,POSITIVE
126,69,0,10,6,16,14,POSITIVE
112,82,8,4,0,15,4,POSITIVE
122,47,3,3,4,18,3,POSITIVE
162,54,9,2,1,22,6,POSITIVE
101,34,3,5,3,12,2,POSITIVE
76,20,4,0,0,11,0,POSITIVE
196,46,5,5,4,31,4,POSITIVE
128,40,4,4,2,16,7,POSITIVE
73,59,0,0,0,12,6,POSITIVE
52,42,1,0,0,7,8,POSITIVE
123,72,1,2,2,18,10,POSITIVE
173,63,2,6,1,20,7,POSITIVE
63,74,1,2,2,6,12,POSITIVE
47,14,2,2,2,5,4,POSITIVE
118,106,1,14,2,20,13,POSITIVE
119,35,8,7,3,14,4,POSITIVE
38,35,1,1,0,6,5,POSITIVE
49,35,0,1,0,10,7,POSITIVE
119,86,3,3,3,11,7,POSITIVE
117,87,4,0,0,14,17,POSITIVE
78,89,1,2,5,11,11,POSITIVE
35,18,2,1,0,4,3,POSITIVE
72,59,2,2,1,14,10,POSITIVE
116,23,8,4,0,17,4,POSITIVE
76,85,1,2,3,10,13,POSITIVE
116,37,6,2,0,15,4,POSITIVE
252,127,0,4,12,44,19,POSITIVE
31,11,2,2,0,6,1,POSITIVE
81,42,8,1,0,10,4,POSITIVE
160,85,2,5,1,34,10,POSITIVE
240,163,4,3,6,41,15,POSITIVE
39,43,0,2,2,8,13,POSITIVE
96,76,1,1,5,18,8,POSITIVE
115,83,2,3,3,15,13,POSITIVE
91,29,5,0,0,14,4,POSITIVE
193,75,11,0,0,31,10,POSITIVE
42,27,2,3,0,6,3,POSITIVE
62,64,2,1,8,10,8,POSITIVE
93,25,6,3,0,10,5,POSITIVE
85,17,5,1,0,14,1,POSITIVE
80,65,3,0,4,15,9,POSITIVE
167,120,1,2,1,25,15,POSITIVE
82,41,1,2,1,3,14,POSITIVE
73,51,3,1,3,8,8,POSITIVE
88,51,5,0,4,14,4,POSITIVE
103,88,3,6,3,12,13,POSITIVE
89,39,0,3,1,12,5,POSITIVE
136,61,6,9,3,29,7,POSITIVE
102,21,4,0,1,14,2,POSITIVE
74,74,3,0,0,8,8,POSITIVE
164,31,4,2,1,21,1,POSITIVE
127,42,5,9,0,16,3,POSITIVE
137,47,5,2,0,19,3,POSITIVE
115,65,5,3,0,12,7,POSITIVE
38,29,1,1,0,8,2,POSITIVE
86,54,0,0,3,16,3,POSITIVE
102,48,6,0,2,14,5,POSITIVE
58,36,2,0,0,11,2,POSITIVE
134,48,3,1,4,12,2,POSITIVE
90,70,0,2,0,13,11,POSITIVE
87,118,7,5,5,8,15,POSITIVE
119,101,0,1,2,20,12,POSITIVE
199,120,6,5,2,35,10,POSITIVE
162,86,3,8,8,24,9,POSITIVE
97,70,2,1,2,13,10,POSITIVE
91,113,10,4,10,12,15,POSITIVE
67,33,1,1,0,9,2,POSITIVE
207,186,3,3,1,35,29,POSITIVE
93,79,2,3,1,16,7,POSITIVE
25,4,0,0,0,5,1,POSITIVE
75,70,4,1,3,13,10,POSITIVE
90,68,1,4,0,18,7,POSITIVE
70,48,0,1,2,13,8,POSITIVE
202,140,5,2,4,36,19,POSITIVE
130,82,0,2,4,21,8,POSITIVE
91,43,5,1,0,10,4,POSITIVE
144,83,1,1,1,30,9,POSITIVE
90,44,1,3,0,19,3,POSITIVE
54,79,4,2,5,9,5,POSITIVE
70,67,3,1,1,11,11,POSITIVE
57,122,1,4,5,14,18,POSITIVE
20,22,0,2,1,5,2,POSITIVE
161,30,1,5,1,11,4,POSITIVE
98,52,2,1,3,15,8,POSITIVE
71,54,4,1,1,8,4,POSITIVE
